             Lord             |            Realm             |             Rank             
            Zariel            |           Avernus            |              1               
           Dispater           |             Dis              |              2               
            Mammon            |           Minauros           |              3               
            Belial            |          Phlegethos          |              4               
           Levistus           |            Stygia            |              5               
            Glasya            |           Malbolge           |              6               
          Baalzebul           |          Maladomini          |              7               
        Mephistopheles        |            Cania             |              8               
           Asmodeus           |            Nessus            |              9               
      Laeral Silverhand       |          Waterdeep           |          Lady Mage           
       Fhelben Arunsun        |          Waterdeep           |          Blackstaff          
       Fargus Estelmer        |          Waterdeep           |            Noble             
        Aivor The Wolf        |             None             |       Graveyard Pally        
      Renita Black Gnome      |          Westbridge          |      Sorcerer initiate       
      Nora The Pretender      |       Where elves live       |    Kill Hydra with a fey     
        Gilligan Chort        |             ???              |Get drunk and lost for a month
         Garny Turbor         |            Turbor            |        Paladin of Tyr        
              I               |             Miss             |             DnD              
